class_id,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,TP,FP,FN,efficiency_score
0,A10,35,62,0.87343,0.77419,0.82082,0.79699,0.72861,49.0,10.0,13.0,20.145752049748097
1,A400M,32,39,0.86602,0.79487,0.82892,0.82095,0.78171,32.0,5.0,7.0,21.61394413308709
2,AG600,14,17,1.0,0.88235,0.9375,0.885,0.79022,15.0,0.0,2.0,21.849241960379274
3,AH64,22,40,0.77632,0.725,0.74978,0.7187,0.62757,29.0,11.0,11.0,17.352039656140338
4,AKINCI,5,7,1.0,1.0,1.0,0.995,0.97086,7.0,0.0,0.0,26.843860000574296
5,AV8B,19,22,0.97883,0.77273,0.86365,0.81289,0.75953,18.0,1.0,4.0,21.0006767054325
6,An124,13,26,0.77264,0.73077,0.75112,0.70344,0.68055,18.0,7.0,8.0,18.816913791268398
7,An22,6,6,1.0,1.0,1.0,0.995,0.995,6.0,0.0,0.0,27.511320582340836
8,An225,4,4,1.0,0.75,0.85714,0.745,0.72,3.0,0.0,1.0,19.90768926561347
9,An72,10,15,0.92308,0.8,0.85714,0.79038,0.71795,12.0,1.0,3.0,19.85100765034332
10,B1,34,59,0.95759,0.76542,0.85078,0.77458,0.73203,45.0,3.0,14.0,20.24031357375976
11,B2,29,35,0.89559,0.73546,0.80767,0.76669,0.71453,27.0,3.0,8.0,19.756446126331657
12,B21,3,3,1.0,0.33333,0.5,0.335,0.268,1.0,0.0,2.0,7.410084337756125
13,B52,27,37,0.83035,0.67568,0.74507,0.67308,0.64893,25.0,7.0,12.0,17.942634437686877
14,Be200,17,17,1.0,0.94118,0.9697,0.945,0.921,15.0,1.0,2.0,25.465252518930566
15,C1,13,19,1.0,0.52632,0.68966,0.525,0.525,9.0,1.0,10.0,14.516023422843155
16,C130,61,100,0.81679,0.86,0.83784,0.86031,0.7477,88.0,27.0,12.0,20.6735823109711
17,C17,37,47,0.68479,0.83206,0.75128,0.77593,0.72665,40.0,26.0,7.0,20.09155889563615
18,C2,46,58,0.83689,0.88471,0.86014,0.9016,0.87547,53.0,10.0,5.0,24.20636766856476
19,C390,10,12,0.87233,0.57088,0.69013,0.56375,0.48934,7.0,1.0,5.0,13.530039812826798
20,C5,17,21,0.75371,0.95238,0.84147,0.90729,0.89901,18.0,11.0,3.0,24.85723850927662
21,CH47,23,31,0.89655,0.83871,0.86667,0.8044,0.70584,26.0,3.0,5.0,19.516171376723072
22,CH53,5,8,0.75,0.75,0.75,0.745,0.53225,6.0,2.0,2.0,14.716482793920513
23,CL415,18,24,0.95833,0.95833,0.95833,0.955,0.86736,23.0,1.0,1.0,23.98212966864236
24,E2,25,33,0.97946,0.90909,0.94297,0.93406,0.87704,31.0,2.0,2.0,24.249777490991168
25,E7,5,8,0.87489,0.75,0.80765,0.745,0.679,6.0,1.0,2.0,18.77405696021048
26,EF2000,34,55,0.8077,0.68737,0.74269,0.72025,0.65378,41.0,9.0,14.0,18.07673484454552
27,EMB314,5,12,0.92308,1.0,0.96,0.995,0.97818,12.0,1.0,0.0,27.046254841441367
28,F117,18,29,1.0,0.93103,0.96429,0.935,0.90854,27.0,0.0,2.0,25.120738896361754
29,F14,26,52,0.87799,0.86538,0.87164,0.85476,0.82975,44.0,11.0,8.0,22.9422294001983
30,F15,62,110,0.96132,0.82727,0.88927,0.87109,0.83043,90.0,14.0,20.0,22.961031106726935
31,F16,83,156,0.85646,0.82692,0.84143,0.84245,0.72241,133.0,32.0,23.0,19.974324725516425
32,F18,62,98,0.86578,0.73469,0.79487,0.7398,0.69004,73.0,13.0,25.0,19.07930819561655
33,F2,9,14,0.89594,0.61673,0.73056,0.638,0.5953,8.0,2.0,6.0,16.459788083082916
34,F22,19,28,0.88743,0.75,0.81295,0.74239,0.70288,21.0,4.0,7.0,19.43432865418666
35,F35,66,110,0.8171,0.77273,0.79429,0.77934,0.70161,87.0,32.0,23.0,19.39921370228759
36,F4,29,52,0.92209,0.6829,0.78467,0.70725,0.65657,37.0,4.0,15.0,18.153877140449772
37,FCK1,8,13,1.0,0.61538,0.7619,0.615,0.56314,8.0,0.0,5.0,15.57057796255218
38,H6,17,33,0.96146,0.75601,0.84645,0.75269,0.62182,25.0,3.0,8.0,17.193054637699678
39,Il76,15,25,0.71224,0.79225,0.75012,0.77189,0.7056,21.0,9.0,4.0,19.509535480301203
40,J10,19,59,0.94231,0.55383,0.69764,0.56724,0.51626,34.0,3.0,25.0,14.27436619481335
41,J20,32,52,0.8262,0.63462,0.71785,0.63702,0.58669,33.0,9.0,19.0,16.22172529894829
42,J35,8,9,0.81944,0.88889,0.85275,0.885,0.885,7.0,3.0,2.0,24.46986805564989
43,J36,6,7,0.57143,0.57143,0.57143,0.525,0.455,4.0,3.0,3.0,12.580553633130735
44,J50,2,2,1.0,1.0,1.0,0.995,0.995,1.0,1.0,1.0,27.511320582340836
45,JAS39,24,36,0.87727,0.75,0.80866,0.76765,0.74031,28.0,4.0,8.0,20.46925200031432
46,JF17,10,13,0.64447,0.53846,0.58671,0.47667,0.47033,7.0,5.0,6.0,13.004421517077756
47,JH7,10,25,1.0,0.6,0.75,0.595,0.55677,15.0,0.0,10.0,15.39445021168835
48,KAAN,1,1,1.0,1.0,1.0,0.995,0.8955,1.0,0.0,0.0,24.760188524106752
49,KC135,24,43,0.72914,0.83721,0.77945,0.81853,0.71747,34.0,16.0,9.0,19.83773585749958
50,KF21,11,12,0.92361,0.91667,0.92013,0.915,0.915,11.0,1.0,1.0,25.299355108383786
51,KIZILELMA,3,3,0.66667,0.66667,0.66667,0.665,0.665,1.0,2.0,2.0,18.386963002267997
52,KJ600,6,6,1.0,0.66667,0.8,0.665,0.665,4.0,0.0,2.0,18.386963002267997
53,Ka27,7,9,0.9,1.0,0.94737,0.995,0.91311,9.0,1.0,0.0,25.24709742406155
54,Ka52,12,17,1.0,0.89651,0.94543,0.945,0.85782,16.0,0.0,1.0,23.718352785872984
55,MQ20,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56,MQ25,5,5,1.0,0.6,0.75,0.595,0.595,3.0,0.0,2.0,16.451493212555576
57,MQ28,1,1,0.53508,1.0,0.69713,0.995,0.8955,1.0,1.0,0.0,24.760188524106752
58,MQ9,24,32,0.88558,0.9375,0.9108,0.91832,0.88607,30.0,6.0,2.0,24.49945309386407
59,Mi24,13,22,0.95437,0.95094,0.95266,0.95273,0.93832,21.0,1.0,1.0,25.944143044042267
60,Mi26,7,7,0.875,1.0,0.93333,0.9775,0.87292,7.0,1.0,0.0,24.135861269082376
61,Mi28,4,4,0.66667,0.5,0.57143,0.495,0.40825,2.0,1.0,2.0,11.287936309287081
62,Mi8,15,25,0.94178,0.64736,0.76729,0.66611,0.59308,18.0,0.0,7.0,16.398406041180607
63,Mig29,9,14,1.0,0.40727,0.57881,0.425,0.38625,4.0,2.0,10.0,10.679645803948892
64,Mig31,16,18,0.86229,0.94444,0.9015,0.945,0.87488,17.0,4.0,1.0,24.190054423194322
65,Mirage2000,20,30,0.91667,0.73333,0.81481,0.735,0.70133,22.0,2.0,8.0,19.391471823128743
66,NH90,5,5,1.0,0.75017,0.85726,0.795,0.795,4.0,0.0,1.0,21.981406897448206
67,P3,23,29,0.82092,0.94871,0.8802,0.94639,0.91619,27.0,9.0,2.0,25.332258094808896
68,RQ4,13,14,0.77816,0.92857,0.84674,0.87064,0.79201,13.0,4.0,1.0,21.89873468785906
69,Rafale,27,36,0.79041,0.77778,0.78404,0.73832,0.7,27.0,11.0,9.0,19.354697897124208
70,SR71,13,13,1.0,0.76923,0.86957,0.765,0.765,10.0,0.0,3.0,21.151919844714314
71,Su24,23,53,0.93392,0.53349,0.67907,0.53992,0.49089,28.0,3.0,25.0,13.572896643884716
72,Su25,9,13,0.73131,0.76923,0.74979,0.7215,0.57736,9.0,6.0,4.0,15.963754825548046
73,Su34,29,38,0.91501,0.85006,0.88134,0.854,0.79398,32.0,5.0,6.0,21.953204337655254
74,Su47,10,10,1.0,1.0,1.0,0.995,0.984,10.0,0.0,0.0,27.207175329671742
75,Su57,20,29,1.0,0.92844,0.96289,0.935,0.86716,27.0,1.0,2.0,23.97659975495747
76,T50,9,21,0.95238,0.95238,0.95238,0.95262,0.91175,20.0,1.0,1.0,25.20949401100428
77,TB001,3,3,1.0,1.0,1.0,0.995,0.951,3.0,0.0,0.0,26.294739571664458
78,TB2,14,83,0.86052,0.91566,0.88723,0.92413,0.76623,78.0,18.0,5.0,21.1859288138764
79,Tejas,4,6,0.68086,0.66667,0.67369,0.665,0.489,4.0,2.0,2.0,13.520638959562483
80,Tornado,25,33,0.86247,0.84848,0.85542,0.81456,0.79951,27.0,6.0,6.0,22.10610645104254
81,Tu160,22,36,0.90909,0.83333,0.86957,0.83313,0.70758,30.0,3.0,6.0,19.56428162578164
82,Tu22M,10,20,0.95038,0.85,0.89739,0.845,0.76618,17.0,1.0,3.0,21.184546335455178
83,Tu95,14,16,0.93507,0.90105,0.91774,0.91938,0.86188,15.0,1.0,1.0,23.8306100336763
84,U2,14,15,0.89264,1.0,0.94328,0.995,0.91021,15.0,2.0,0.0,25.166913675630603
85,UH60,15,19,0.76631,0.78947,0.77772,0.70833,0.6501,15.0,5.0,4.0,17.974984432743497
86,US2,47,50,0.95879,0.93063,0.9445,0.93337,0.8713,47.0,3.0,3.0,24.091068968234744
87,V22,40,56,0.95133,0.69815,0.80531,0.72979,0.62867,41.0,4.0,15.0,17.38245418140725
88,V280,5,5,0.83333,1.0,0.90909,0.995,0.995,5.0,1.0,0.0,27.511320582340836
89,Vulcan,26,30,0.96591,0.83333,0.89474,0.835,0.81625,25.0,1.0,5.0,22.56896022646805
90,WZ10,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
91,WZ7,5,7,0.8,0.57143,0.66667,0.575,0.45225,4.0,1.0,3.0,12.504517319963462
93,X29,5,5,0.83333,1.0,0.90909,0.995,0.995,5.0,1.0,0.0,27.511320582340836
94,X32,7,7,1.0,1.0,1.0,0.995,0.939,7.0,0.0,0.0,25.9629447505709
95,XB70,14,14,0.92308,0.85714,0.88889,0.855,0.82636,12.0,1.0,2.0,22.84849736323937
96,XQ58,2,10,1.0,0.98579,0.99284,0.995,0.8652,10.0,0.0,0.0,23.92240660084552
97,Y20,15,48,0.96888,0.6486,0.77703,0.68206,0.63289,31.0,3.0,17.0,17.499135360158483
98,YF23,5,11,0.91667,1.0,0.95652,0.995,0.95082,11.0,1.0,0.0,26.289762649348056
99,Z10,6,18,0.77778,0.38889,0.51852,0.37125,0.3585,7.0,2.0,11.0,9.912370280170041
100,Z19,3,23,0.72414,0.91304,0.80769,0.83683,0.70209,21.0,8.0,2.0,19.412485495131335
