class_id,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,TP,FP,FN,efficiency_score
0,A10,35,62,0.81123,0.69314,0.74755,0.68309,0.62796,43.0,10.0,19.0,17.462113273289265
1,A400M,32,39,0.85714,0.76923,0.81081,0.75471,0.7124,30.0,5.0,9.0,19.810194114101655
2,AG600,14,17,1.0,0.82353,0.90323,0.825,0.73461,14.0,0.0,3.0,20.427802776754937
3,AH64,22,40,0.7027,0.65,0.67532,0.61677,0.51293,26.0,11.0,14.0,14.263395377521281
4,AKINCI,5,7,0.85714,0.85714,0.85714,0.855,0.83867,6.0,1.0,1.0,23.321470378542443
5,AV8B,19,22,0.875,0.63636,0.73684,0.635,0.60198,14.0,2.0,8.0,16.739669641783987
6,An124,13,26,0.75,0.80769,0.77778,0.78376,0.7437,20.0,8.0,6.0,20.680574624729648
7,An22,6,6,0.83333,0.83333,0.83333,0.835,0.835,5.0,1.0,1.0,23.219416178095006
8,An225,4,4,1.0,0.75,0.85714,0.745,0.745,2.0,1.0,2.0,20.71672461398896
9,An72,10,15,0.78571,0.73333,0.75862,0.735,0.64863,11.0,3.0,4.0,18.036898102512293
10,B1,34,59,0.93617,0.74576,0.83019,0.74372,0.7048,44.0,3.0,15.0,19.598855715354922
11,B2,29,35,0.82353,0.8,0.81159,0.76617,0.66849,28.0,6.0,7.0,18.58915870765836
12,B21,3,3,1.0,0.33333,0.5,0.335,0.335,0.0,1.0,3.0,9.315574155283626
13,B52,27,37,0.70732,0.78378,0.74359,0.73339,0.64733,29.0,12.0,8.0,18.00074811325298
14,Be200,17,17,0.93333,0.82353,0.875,0.817,0.79714,13.0,2.0,4.0,22.166617260127726
15,C1,13,19,0.76923,0.52632,0.625,0.50136,0.49491,10.0,3.0,9.0,13.762300911019162
16,C130,61,100,0.74545,0.82,0.78095,0.7581,0.66687,82.0,28.0,18.0,18.54411025950445
17,C17,37,47,0.77551,0.80851,0.79167,0.76588,0.69248,38.0,11.0,9.0,19.25626504791285
18,C2,46,58,0.83051,0.84483,0.83761,0.83765,0.8175,48.0,11.0,10.0,22.732781707296606
19,C390,10,12,0.66667,0.5,0.57143,0.47214,0.47214,5.0,4.0,7.0,13.12911994530033
20,C5,17,21,0.73913,0.80952,0.77273,0.784,0.75174,17.0,6.0,4.0,20.904148404456453
21,CH47,23,31,0.92953,0.83871,0.88179,0.81944,0.72629,26.0,2.0,5.0,20.196442845495355
22,CH53,5,8,0.71429,0.625,0.66667,0.58786,0.461,4.0,3.0,4.0,12.819342345032092
23,CL415,18,24,0.95,0.79167,0.86364,0.795,0.71327,19.0,1.0,5.0,19.834386799221345
24,E2,25,33,0.875,0.84848,0.86154,0.83132,0.76533,27.0,5.0,6.0,21.282054830636465
25,E7,5,8,0.71429,0.625,0.66667,0.625,0.6,5.0,2.0,3.0,16.684610427373656
26,EF2000,34,55,0.7,0.63636,0.66667,0.62951,0.59361,35.0,15.0,20.0,16.506919326322127
27,EMB314,5,12,0.90909,0.83333,0.86957,0.835,0.76843,10.0,1.0,2.0,21.368258651177896
28,F117,18,29,1.0,0.93103,0.96429,0.935,0.90511,27.0,0.0,2.0,25.169012906533617
29,F14,26,52,0.86957,0.76923,0.81633,0.72831,0.69268,40.0,6.0,12.0,19.261826584721973
30,F15,62,110,0.7382,0.79091,0.76365,0.77135,0.72555,86.0,32.0,24.0,20.175865159301598
31,F16,83,156,0.85025,0.72792,0.78434,0.71856,0.60826,110.0,24.0,46.0,16.9143018975905
32,F18,62,98,0.76476,0.69388,0.7276,0.68065,0.62872,67.0,22.0,31.0,17.48324711316394
33,F2,9,14,1.0,0.64286,0.78261,0.645,0.60528,9.0,0.0,5.0,16.831434999134547
34,F22,19,28,0.82609,0.67857,0.7451,0.66302,0.6283,19.0,4.0,9.0,17.47156788586478
35,F35,66,110,0.77358,0.74545,0.75926,0.70836,0.63341,78.0,28.0,32.0,17.613665151337916
36,F4,29,52,0.87805,0.69231,0.77419,0.69133,0.63081,35.0,6.0,17.0,17.541365172819294
37,FCK1,8,13,0.85714,0.46154,0.6,0.465,0.4295,6.0,1.0,7.0,11.943400297594977
38,H6,17,33,0.8125,0.78788,0.8,0.77944,0.6299,26.0,6.0,7.0,17.516060180337778
39,Il76,15,25,0.79167,0.76,0.77551,0.73567,0.65542,19.0,5.0,6.0,18.22571227718207
40,J10,19,59,0.83333,0.50847,0.63158,0.49426,0.46478,30.0,6.0,29.0,12.924455390724548
41,J20,32,52,0.82051,0.61538,0.7033,0.60953,0.56305,30.0,9.0,22.0,15.657116501887897
42,J35,8,9,0.875,0.77778,0.82353,0.76125,0.76125,7.0,1.0,2.0,21.168599479730325
43,J36,6,7,0.57143,0.57143,0.57143,0.545,0.4134,3.0,4.0,4.0,11.495696584460449
44,J50,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
45,JAS39,24,36,0.83333,0.69444,0.75758,0.69385,0.66861,25.0,5.0,11.0,18.592495629743834
46,JF17,10,13,0.63636,0.53846,0.58333,0.3933,0.36922,6.0,5.0,7.0,10.267153103324835
47,JH7,10,25,1.0,0.56,0.71795,0.555,0.49143,14.0,0.0,11.0,13.665530170540393
48,KAAN,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,KC135,24,43,0.80556,0.67442,0.73418,0.6371,0.58076,26.0,10.0,17.0,16.14959058633588
50,KF21,11,12,1.0,0.83333,0.90909,0.835,0.8,10.0,0.0,2.0,22.24614723649821
51,KIZILELMA,3,3,1.0,0.66667,0.8,0.665,0.665,2.0,0.0,1.0,18.492109890339137
52,KJ600,6,6,0.8,0.66667,0.72727,0.631,0.631,4.0,1.0,2.0,17.546648632787964
53,Ka27,7,9,0.9,1.0,0.94737,0.995,0.91314,9.0,1.0,0.0,25.392308609419967
54,Ka52,12,17,0.875,0.82353,0.84848,0.81321,0.7287,14.0,2.0,3.0,20.263459364045307
55,MQ20,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56,MQ25,5,5,0.75,0.6,0.66667,0.545,0.545,3.0,1.0,2.0,15.155187804864404
57,MQ28,1,1,1.0,1.0,1.0,0.995,0.8955,1.0,0.0,0.0,24.901781062855182
58,MQ9,24,32,0.90909,0.9375,0.92308,0.93212,0.88701,30.0,3.0,2.0,24.665693825307844
59,Mi24,13,22,0.74074,0.90909,0.81633,0.905,0.87953,20.0,7.0,2.0,24.45769234864659
60,Mi26,7,7,1.0,0.71429,0.83333,0.715,0.6924,5.0,0.0,2.0,19.2540404331892
61,Mi28,4,4,0.66667,0.5,0.57143,0.41167,0.3705,1.0,2.0,3.0,10.302746938903233
62,Mi8,15,25,0.73333,0.44,0.55,0.435,0.37095,10.0,5.0,15.0,10.315260396723763
63,Mig29,9,14,0.47368,0.64286,0.54545,0.54667,0.44672,7.0,12.0,7.0,12.422248616860601
64,Mig31,16,18,0.69565,0.88889,0.78049,0.8731,0.84337,15.0,8.0,3.0,23.452166493556867
65,Mirage2000,20,30,0.86364,0.63333,0.73077,0.62277,0.53488,18.0,4.0,12.0,14.873774042322703
66,NH90,5,5,1.0,0.4,0.57143,0.395,0.395,2.0,0.0,3.0,10.98403519802099
67,P3,23,29,0.71875,0.7931,0.7541,0.78463,0.78463,21.0,11.0,8.0,21.818743132716985
68,RQ4,13,14,0.66667,0.71429,0.68966,0.58611,0.56536,9.0,6.0,5.0,15.721352252033284
69,Rafale,27,36,0.65789,0.69444,0.67568,0.61939,0.57691,22.0,16.0,14.0,16.042531002760228
70,SR71,13,13,1.0,0.69231,0.81818,0.695,0.695,9.0,0.0,4.0,19.326340411707818
71,Su24,23,53,0.80769,0.39623,0.53165,0.39,0.36023,21.0,5.0,32.0,10.017162023754688
72,Su25,9,13,0.81818,0.69231,0.75,0.68045,0.52905,8.0,3.0,5.0,14.711655244336724
73,Su34,29,38,0.83333,0.78947,0.81081,0.7524,0.68473,30.0,6.0,8.0,19.04075549655927
