class_id,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,TP,FP,FN,efficiency_score
0,A10,35,62,0.93524,0.87097,0.90196,0.89904,0.77579,55.0,5.0,7.0,21.975964404361342
1,A400M,32,39,0.94435,0.87179,0.90662,0.87357,0.81256,34.0,3.0,5.0,23.017555828778214
2,AG600,14,17,0.93333,0.82353,0.875,0.825,0.75676,14.0,1.0,3.0,21.43689764323398
3,AH64,22,40,0.7984,0.69318,0.74208,0.67924,0.59584,28.0,12.0,12.0,16.878483392019312
4,AKINCI,5,7,0.87324,0.98595,0.92618,0.92375,0.89059,7.0,2.0,0.0,25.227927839853788
5,AV8B,19,22,0.93681,0.6743,0.78417,0.67625,0.64858,15.0,1.0,7.0,18.37246032222725
6,An124,13,26,0.798,0.76923,0.78335,0.75976,0.73718,21.0,6.0,5.0,20.882250917912184
7,An22,6,6,0.85939,0.83333,0.84616,0.835,0.835,5.0,1.0,1.0,23.65321836791106
8,An225,4,4,1.0,0.75,0.85714,0.745,0.71167,3.0,0.0,1.0,20.159623851366785
9,An72,10,15,0.81126,0.8,0.80559,0.78643,0.74386,11.0,7.0,4.0,21.071476664855474
10,B1,34,59,0.8646,0.74576,0.8008,0.75556,0.69198,45.0,8.0,14.0,19.601861133206103
11,B2,29,35,0.85427,0.83764,0.84587,0.82579,0.712,30.0,7.0,5.0,20.168971829883443
12,B21,3,3,1.0,0.33333,0.5,0.335,0.3015,1.0,0.0,2.0,8.540653099311598
13,B52,27,37,0.87979,0.83784,0.8583,0.88039,0.75999,32.0,7.0,5.0,21.528394523866737
14,Be200,17,17,1.0,0.88235,0.9375,0.885,0.83902,15.0,0.0,2.0,23.767093742568548
15,C1,13,19,0.89028,0.63158,0.73894,0.63038,0.60275,12.0,2.0,7.0,17.074224396716637
16,C130,61,100,0.81009,0.9,0.85268,0.8774,0.72977,91.0,25.0,9.0,20.672346309401743
17,C17,37,47,0.87747,0.76194,0.81564,0.80406,0.70471,39.0,8.0,8.0,19.962466486288147
18,C2,46,58,0.87859,0.82759,0.85233,0.82377,0.80565,48.0,9.0,10.0,22.821814824080892
19,C390,10,12,0.88889,0.66667,0.7619,0.64611,0.60821,8.0,1.0,4.0,17.22889095035591
20,C5,17,21,0.64109,0.85714,0.73354,0.82231,0.76961,18.0,11.0,3.0,21.800902261231176
21,CH47,23,31,0.86466,0.80645,0.83454,0.79259,0.7089,25.0,4.0,6.0,20.081157486242095
22,CH53,5,8,0.6,0.75,0.66667,0.67533,0.53398,6.0,4.0,2.0,15.126162328260058
23,CL415,18,24,0.95562,0.89761,0.92571,0.91326,0.80058,22.0,2.0,2.0,22.67819588141585
24,E2,25,33,0.9287,0.7895,0.85346,0.83544,0.76591,27.0,3.0,6.0,21.69609159301408
25,E7,5,8,1.0,0.75,0.85714,0.745,0.696,6.0,0.0,2.0,19.71573650786359
26,EF2000,34,55,0.83557,0.69091,0.75638,0.68678,0.63361,38.0,10.0,17.0,17.94840202406243
27,EMB314,5,12,0.91355,0.88237,0.89769,0.90083,0.838,11.0,1.0,1.0,23.73819999078978
28,F117,18,29,0.95216,0.89655,0.92352,0.895,0.81699,26.0,2.0,3.0,23.143045358562464
29,F14,26,52,0.96838,0.84615,0.90315,0.84167,0.79348,44.0,2.0,8.0,22.477072707269542
30,F15,62,110,0.95419,0.82727,0.88621,0.8556,0.78882,93.0,16.0,17.0,22.345067919731257
31,F16,83,156,0.86856,0.76282,0.81226,0.76433,0.64544,119.0,42.0,37.0,18.283512890280857
32,F18,62,98,0.85979,0.66327,0.74885,0.69118,0.62232,67.0,16.0,31.0,17.628587849962166
33,F2,9,14,0.90682,0.69646,0.78784,0.70864,0.67103,10.0,1.0,4.0,19.008406133436356
34,F22,19,28,0.84414,0.71429,0.7738,0.72606,0.65516,20.0,9.0,8.0,18.558853348407915
35,F35,66,110,0.82565,0.73636,0.77845,0.75524,0.63901,84.0,26.0,26.0,18.101368945244126
36,F4,29,52,0.95121,0.74988,0.83863,0.76357,0.66403,39.0,6.0,13.0,18.81011568005267
37,FCK1,8,13,1.0,0.61538,0.7619,0.615,0.55171,8.0,0.0,5.0,15.628403719473308
38,H6,17,33,0.8649,0.77622,0.81816,0.79582,0.67061,26.0,11.0,7.0,18.996508706233335
39,Il76,15,25,0.76056,0.76244,0.7615,0.80881,0.71354,20.0,8.0,5.0,20.212595729627854
40,J10,19,59,0.88776,0.45763,0.60393,0.46893,0.42474,28.0,4.0,31.0,12.031698167169514
41,J20,32,52,0.80358,0.67308,0.73256,0.66452,0.60611,35.0,13.0,17.0,17.169403814340807
42,J35,8,9,0.83117,0.77778,0.80359,0.775,0.775,6.0,3.0,3.0,21.953585910336614
43,J36,6,7,0.83296,0.71269,0.76815,0.66667,0.5245,5.0,1.0,2.0,14.857620399963295
44,J50,2,2,1.0,1.0,1.0,0.995,0.995,2.0,0.0,0.0,28.185571588109585
45,JAS39,24,36,0.82197,0.80556,0.81368,0.80115,0.7559,28.0,9.0,8.0,21.41253624467541
46,JF17,10,13,0.88241,0.57951,0.69958,0.60611,0.56402,8.0,1.0,5.0,15.97711164535233
47,JH7,10,25,1.0,0.64,0.78049,0.635,0.5577,16.0,0.0,9.0,15.798083693154487
48,KAAN,1,1,0.42762,1.0,0.59906,0.995,0.8955,1.0,2.0,0.0,25.367014429298628
49,KC135,24,43,0.9722,0.81333,0.8857,0.832,0.72547,35.0,4.0,8.0,20.550539316608905
50,KF21,11,12,0.93136,0.91667,0.92395,0.915,0.865,11.0,3.0,1.0,24.503034596698285
51,KIZILELMA,3,3,1.0,0.33333,0.5,0.335,0.3015,1.0,0.0,2.0,8.540653099311598
52,KJ600,6,6,0.59909,0.66667,0.63107,0.631,0.6014,4.0,3.0,2.0,17.035982666421212
53,Ka27,7,9,0.83442,1.0,0.90973,0.984,0.82019,9.0,2.0,0.0,23.23369242296643
54,Ka52,12,17,1.0,0.76471,0.86667,0.765,0.7198,13.0,0.0,4.0,20.38992404936812
55,MQ20,1,1,1.0,1.0,1.0,0.995,0.995,1.0,0.0,0.0,28.185571588109585
56,MQ25,5,5,0.83303,0.6,0.69757,0.595,0.535,3.0,1.0,2.0,15.155056080038824
57,MQ28,1,1,1.0,1.0,1.0,0.995,0.8955,1.0,0.0,0.0,25.367014429298628
58,MQ9,24,32,0.83214,0.875,0.85303,0.89118,0.83382,29.0,7.0,3.0,23.619792262912096
59,Mi24,13,22,0.93585,0.90909,0.92228,0.905,0.8598,20.0,3.0,2.0,24.35573311704183
60,Mi26,7,7,0.85714,0.85714,0.85714,0.855,0.80317,6.0,1.0,1.0,22.751563349167817
61,Mi28,4,4,0.5,0.25,0.33333,0.245,0.2205,1.0,1.0,3.0,6.246149281586094
62,Mi8,15,25,1.0,0.70731,0.82857,0.755,0.57997,19.0,0.0,6.0,16.42893060699087
63,Mig29,9,14,0.75779,0.64286,0.69561,0.63449,0.58353,10.0,4.0,4.0,16.529775466140286
64,Mig31,16,18,0.77378,0.83333,0.80246,0.82438,0.76593,15.0,5.0,3.0,21.696658137166608
65,Mirage2000,20,30,0.87563,0.6,0.71207,0.58811,0.51984,17.0,4.0,13.0,14.72561561242501
66,NH90,5,5,0.66667,0.4,0.5,0.395,0.395,2.0,1.0,3.0,11.189247012365112
67,P3,23,29,0.90212,0.9537,0.92719,0.94476,0.88244,28.0,3.0,1.0,24.997061097699923
68,RQ4,13,14,0.74454,0.71429,0.7291,0.73241,0.62788,12.0,5.0,2.0,17.786087124364066
69,Rafale,27,36,0.71764,0.72222,0.71992,0.65181,0.59909,25.0,14.0,11.0,16.970546816804596
70,SR71,13,13,0.9,0.69231,0.78261,0.695,0.687,9.0,1.0,4.0,19.460791639227423
71,Su24,23,53,0.96193,0.47685,0.63762,0.55952,0.46064,29.0,4.0,24.0,13.048644920951558
72,Su25,9,13,0.61175,0.69231,0.64954,0.73075,0.53796,10.0,6.0,3.0,15.238904614612496
73,Su34,29,38,0.89189,0.86842,0.88,0.85939,0.77975,31.0,6.0,7.0,22.088140146561255
74,Su47,10,10,0.9271,1.0,0.96217,0.995,0.94814,10.0,1.0,0.0,26.85815863874394
75,Su57,20,29,1.0,0.75268,0.85889,0.755,0.69019,22.0,0.0,7.0,19.55115543155513
76,T50,9,21,0.79167,0.90476,0.84444,0.89761,0.84132,19.0,5.0,2.0,23.8322463201089
77,TB001,3,3,1.0,1.0,1.0,0.995,0.929,3.0,0.0,0.0,26.315975884777693
78,TB2,14,83,0.88311,0.78313,0.83012,0.85218,0.65987,73.0,16.0,10.0,18.69227449632751
79,Tejas,4,6,0.57143,0.66667,0.61538,0.665,0.5815,4.0,3.0,2.0,16.47227123465902
80,Tornado,25,33,0.93819,0.87879,0.90752,0.875,0.82704,29.0,2.0,4.0,23.427733795206183
81,Tu160,22,36,0.96667,0.80556,0.87879,0.804,0.6782,29.0,1.0,7.0,19.211512212116507
