epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,224.129,0.80608,5.25012,0.00704,0.3142,0.13144,0.07755,0.06643,0.65393,2.76748,0.00803,0.0099635,0.00332117,0.0099635,0.00332117,0.0099635,0.00332117,0.0099635,0.00332117
2,417.877,0.83827,2.84852,0.00755,0.31095,0.25412,0.19682,0.16468,0.7708,2.36094,0.01054,0.0197659,0.00658862,0.0197659,0.00658862,0.0197659,0.00658862,0.0197659,0.00658862
3,607.772,1.01684,2.60778,0.00982,0.21384,0.17714,0.1062,0.08012,1.06596,3.06702,0.01629,0.0293702,0.00979008,0.0293702,0.00979008,0.0293702,0.00979008,0.0293702,0.00979008
4,795.854,1.13483,2.66884,0.01133,0.31224,0.26844,0.21447,0.16633,1.03829,2.46471,0.01582,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,986.801,1.12135,2.44048,0.0111,0.3717,0.31473,0.28837,0.23093,0.9443,2.12818,0.01327,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1177.71,1.0631,2.22935,0.0105,0.46017,0.34759,0.35879,0.29424,0.8897,1.88728,0.01248,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1367.94,1.01822,2.0894,0.0103,0.4664,0.38546,0.40699,0.33659,0.8384,1.76666,0.01128,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1559.52,1.01635,1.96805,0.00984,0.54279,0.4139,0.46125,0.38384,0.82529,1.64035,0.01137,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1750.64,0.99722,1.85092,0.00937,0.56326,0.43424,0.48339,0.40547,0.78894,1.5533,0.01033,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1940.33,0.95398,1.7564,0.00943,0.5327,0.46512,0.49433,0.41419,0.7842,1.50611,0.01029,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2132.74,0.95842,1.68207,0.00917,0.58117,0.47047,0.51669,0.43727,0.76903,1.48692,0.01007,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2327.49,0.93159,1.60733,0.00912,0.61384,0.48268,0.53837,0.45618,0.75863,1.44618,0.01014,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2518.92,0.92516,1.54486,0.00879,0.66979,0.49981,0.57989,0.49647,0.73114,1.31246,0.00927,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2711.2,0.91791,1.46538,0.0085,0.64324,0.51258,0.57493,0.49588,0.72226,1.34245,0.00925,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2900.08,0.90016,1.4271,0.00871,0.7111,0.5522,0.63414,0.54573,0.69007,1.20277,0.0088,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3093.03,0.90735,1.39716,0.00839,0.70769,0.56238,0.64738,0.56185,0.67706,1.15565,0.00851,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3285.49,0.88145,1.36241,0.00841,0.7351,0.55454,0.64967,0.56757,0.67013,1.15582,0.00844,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3476.74,0.87533,1.31307,0.00841,0.70136,0.58389,0.65694,0.57522,0.64267,1.12348,0.00793,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3668.41,0.87128,1.22733,0.00759,0.72477,0.58476,0.6687,0.58791,0.63395,1.09262,0.00785,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3863.01,0.85345,1.20632,0.00761,0.74905,0.60922,0.69369,0.61433,0.6259,1.03759,0.00772,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4060.56,0.85229,1.20486,0.00779,0.75968,0.60794,0.70219,0.62094,0.62192,1.0497,0.00757,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4252.98,0.82065,1.13322,0.00733,0.76211,0.60741,0.70135,0.62411,0.60508,1.01228,0.00733,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4444.66,0.82187,1.13105,0.00754,0.74469,0.61687,0.70921,0.6316,0.59401,0.99209,0.0072,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4636.19,0.84628,1.14365,0.00746,0.81211,0.61334,0.72828,0.64913,0.58803,0.96389,0.00707,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4827.81,0.80974,1.09356,0.00739,0.76828,0.64729,0.73459,0.65295,0.58756,0.92847,0.00707,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5019.78,0.80382,1.06316,0.00727,0.81031,0.64145,0.74216,0.66429,0.5775,0.91634,0.00688,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5212.36,0.80206,1.03455,0.00711,0.77275,0.67415,0.759,0.67883,0.57021,0.87536,0.00675,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5403.29,0.80651,1.02079,0.00723,0.80167,0.66826,0.76531,0.68485,0.56978,0.86669,0.00679,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5594.45,0.79525,0.99231,0.00703,0.80135,0.66829,0.77165,0.69027,0.56058,0.85833,0.00664,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5785.82,0.77648,0.95647,0.00712,0.78813,0.67198,0.76178,0.68322,0.55579,0.85892,0.00664,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5975.08,0.77927,0.94973,0.00692,0.82378,0.67473,0.77393,0.69384,0.54909,0.83553,0.00655,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,6167.86,0.76568,0.93364,0.00687,0.82503,0.67811,0.77624,0.69799,0.54219,0.82508,0.00628,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6359.81,0.75631,0.91272,0.0068,0.82351,0.69098,0.78079,0.70454,0.53797,0.80315,0.00625,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6552.75,0.75289,0.87647,0.00656,0.83598,0.69838,0.79033,0.71253,0.52952,0.80942,0.00618,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6745.55,0.73912,0.86722,0.00667,0.80754,0.71228,0.79438,0.71795,0.52605,0.78376,0.00606,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6938.87,0.74836,0.86948,0.0069,0.83728,0.70732,0.804,0.72767,0.52284,0.77362,0.00605,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7131.09,0.73789,0.85276,0.00653,0.85642,0.70182,0.80318,0.72602,0.5215,0.76333,0.00606,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7321.18,0.71717,0.82717,0.00649,0.85139,0.69216,0.80335,0.72947,0.51154,0.76279,0.00583,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7512.93,0.7317,0.82586,0.00653,0.85139,0.7044,0.80576,0.73184,0.50838,0.75755,0.00579,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7707.79,0.73002,0.81451,0.0065,0.85405,0.713,0.81052,0.73565,0.50694,0.75372,0.00574,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7900.11,0.71233,0.78334,0.00635,0.846,0.7285,0.81509,0.73991,0.5097,0.7488,0.00583,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8092.75,0.70064,0.75659,0.00615,0.83977,0.73099,0.82112,0.74446,0.50655,0.74103,0.0058,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8283.38,0.69865,0.75401,0.00613,0.87488,0.70785,0.8176,0.74263,0.50322,0.73909,0.00574,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8473.5,0.70273,0.77433,0.00626,0.82357,0.74019,0.8189,0.74484,0.50012,0.73003,0.00564,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8666.74,0.71035,0.73698,0.00624,0.86323,0.72803,0.82201,0.74784,0.49592,0.72243,0.00559,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
