epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,222.893,0.75774,5.37785,0.00765,0.30705,0.13841,0.0909,0.0795,0.61891,2.69681,0.00752,0.0099635,0.00332117,0.0099635,0.00332117,0.0099635,0.00332117,0.0099635,0.00332117
2,411.621,0.79502,2.77718,0.00837,0.31575,0.26559,0.20878,0.17579,0.77935,2.4265,0.01005,0.0197659,0.00658862,0.0197659,0.00658862,0.0197659,0.00658862,0.0197659,0.00658862
3,595.807,0.95647,2.53035,0.01052,0.26796,0.17054,0.10974,0.08188,1.19495,3.14148,0.01765,0.0293702,0.00979008,0.0293702,0.00979008,0.0293702,0.00979008,0.0293702,0.00979008
4,780.62,1.0914,2.60511,0.01249,0.34362,0.26634,0.22918,0.1775,1.01995,2.40101,0.01459,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,967.731,1.06476,2.33608,0.01187,0.35665,0.28474,0.27064,0.21534,1.02173,2.29445,0.01443,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1154.63,1.00718,2.13462,0.01123,0.46145,0.361,0.37071,0.30236,0.88956,1.90101,0.01233,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1339.77,0.96046,1.96801,0.01098,0.4465,0.35251,0.36408,0.29554,0.91391,1.97091,0.01243,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1523.17,0.94873,1.83247,0.01044,0.50695,0.39085,0.41621,0.34226,0.87975,1.81184,0.01168,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1709.42,0.93031,1.68962,0.01007,0.57479,0.43322,0.47643,0.3946,0.81031,1.63302,0.01081,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1894.19,0.88398,1.62209,0.00989,0.55958,0.42649,0.46455,0.38774,0.81096,1.68008,0.01066,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2076.86,0.88255,1.55674,0.00965,0.64093,0.43408,0.5082,0.42785,0.79739,1.57184,0.01064,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2273.23,0.86862,1.4881,0.00935,0.64195,0.47378,0.54164,0.45767,0.75375,1.497,0.0098,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2468.22,0.84474,1.39095,0.00901,0.6222,0.47189,0.54531,0.46432,0.74755,1.49017,0.00971,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2664.94,0.84709,1.35145,0.00891,0.68623,0.47124,0.56279,0.48196,0.74116,1.46868,0.00954,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2861.16,0.81298,1.26614,0.00884,0.67544,0.50764,0.59882,0.51347,0.71239,1.36166,0.00898,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3058.53,0.81376,1.23668,0.00845,0.6856,0.54421,0.60406,0.51995,0.69403,1.32056,0.00858,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3254.41,0.80564,1.20173,0.00872,0.68026,0.50149,0.58927,0.50908,0.70799,1.39559,0.00892,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3450.1,0.79262,1.15343,0.00851,0.69496,0.56037,0.62259,0.54293,0.67397,1.28182,0.0083,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3645.67,0.78888,1.09679,0.00796,0.69737,0.5778,0.6409,0.55457,0.66193,1.22906,0.00825,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3842.15,0.77049,1.08409,0.00812,0.73769,0.55402,0.64593,0.5676,0.64518,1.21347,0.008,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4036,0.75411,1.0715,0.0078,0.7192,0.57173,0.65718,0.57627,0.64493,1.19764,0.00792,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4231.09,0.73762,1.01674,0.00762,0.75278,0.56518,0.66409,0.58318,0.63726,1.18819,0.0078,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4428.11,0.75025,1.01219,0.00773,0.78077,0.57604,0.68267,0.59906,0.63187,1.16363,0.00772,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4623.78,0.74227,0.97911,0.00761,0.73931,0.60673,0.68257,0.60326,0.61225,1.13557,0.00742,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4819.48,0.73418,0.94142,0.00769,0.77792,0.59256,0.68956,0.60851,0.61596,1.12147,0.00747,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5015.96,0.72265,0.92737,0.00745,0.76425,0.61447,0.70187,0.62093,0.60758,1.10251,0.00738,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5211.4,0.72499,0.91856,0.00731,0.7599,0.62822,0.71227,0.63482,0.59872,1.09036,0.0072,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5406.75,0.71935,0.89663,0.00738,0.74773,0.63226,0.70686,0.62785,0.58896,1.08107,0.00709,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5599.81,0.71239,0.88515,0.00742,0.76371,0.63564,0.71547,0.63547,0.58633,1.0625,0.00701,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5795.31,0.68384,0.83476,0.00728,0.76506,0.63278,0.71973,0.64017,0.57475,1.05677,0.00681,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5990.86,0.68129,0.80833,0.00716,0.81187,0.62438,0.72206,0.6434,0.57103,1.04765,0.00679,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,6185.03,0.6758,0.82282,0.00721,0.80272,0.63265,0.72724,0.65242,0.56518,1.02677,0.00667,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6380.93,0.66206,0.78293,0.0071,0.80286,0.632,0.72255,0.64697,0.56238,1.0288,0.00667,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6574.28,0.66813,0.77245,0.00669,0.80212,0.63254,0.73283,0.65856,0.55809,1.0159,0.00661,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6769.21,0.64489,0.76315,0.00669,0.82518,0.63175,0.73391,0.6595,0.55126,1.00539,0.00651,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6964.53,0.65557,0.75184,0.00683,0.79314,0.657,0.74311,0.66797,0.54498,0.98113,0.00637,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7160.43,0.66118,0.76792,0.00689,0.81529,0.64938,0.74414,0.66674,0.54831,0.97997,0.00644,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
