epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,224.228,1.42004,5.92767,0.01703,0.31272,0.08817,0.04673,0.02582,1.59823,3.12291,0.02309,0.0099635,0.00332117,0.0099635,0.00332117,0.0099635,0.00332117,0.0099635,0.00332117
2,412.164,1.3584,3.40236,0.01655,0.30592,0.20098,0.13294,0.08747,1.26923,2.62423,0.01773,0.0197659,0.00658862,0.0197659,0.00658862,0.0197659,0.00658862,0.0197659,0.00658862
3,598.876,1.4568,3.25516,0.01853,0.21362,0.11263,0.05468,0.03087,1.72384,3.44729,0.02708,0.0293702,0.00979008,0.0293702,0.00979008,0.0293702,0.00979008,0.0293702,0.00979008
4,783.524,1.53328,3.28792,0.02037,0.21745,0.1603,0.08367,0.05248,1.53713,3.09432,0.02387,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,969.973,1.49275,3.13904,0.01926,0.26322,0.19831,0.14314,0.09787,1.34697,2.67865,0.01996,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1157.4,1.41795,2.92187,0.01811,0.30097,0.23588,0.18736,0.12796,1.30675,2.42893,0.01973,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1345.19,1.37425,2.79176,0.01795,0.33937,0.27463,0.24701,0.17512,1.24213,2.24664,0.01791,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1531.96,1.35058,2.64413,0.01685,0.36108,0.30317,0.28275,0.20688,1.17886,2.2023,0.01628,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1718.06,1.32604,2.53171,0.01632,0.41038,0.33701,0.3241,0.24351,1.12073,2.03121,0.01601,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1904.84,1.28189,2.47318,0.01655,0.4637,0.37031,0.37653,0.27834,1.08755,1.83657,0.01465,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2091.29,1.25785,2.33827,0.01557,0.46132,0.37384,0.39314,0.29291,1.12173,1.83467,0.01541,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2277.61,1.22952,2.27768,0.01542,0.52562,0.39267,0.42336,0.32103,1.0634,1.76599,0.01442,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2464.32,1.20446,2.18739,0.01515,0.55224,0.42079,0.46363,0.35342,1.01655,1.64609,0.0139,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2650,1.19307,2.11994,0.01468,0.5325,0.41749,0.45667,0.34827,1.05752,1.66028,0.01444,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2834.48,1.1852,2.05516,0.01476,0.55663,0.46789,0.51174,0.38805,1.06926,1.55747,0.0143,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3021.07,1.17956,2.02921,0.01436,0.60015,0.4735,0.53884,0.41433,1.03171,1.45158,0.01377,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3206.6,1.14761,1.95578,0.01416,0.6023,0.49582,0.55176,0.43622,0.96714,1.4372,0.01268,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3392.34,1.13543,1.92455,0.01425,0.60694,0.50141,0.55639,0.43612,0.96743,1.44309,0.01293,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3577.03,1.12352,1.84476,0.01303,0.64899,0.51512,0.57826,0.45114,0.97596,1.33958,0.01297,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3763.71,1.10442,1.79119,0.01298,0.67538,0.53134,0.60997,0.47565,0.96122,1.30279,0.01274,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3950.39,1.09214,1.78831,0.0132,0.683,0.53832,0.61965,0.49075,0.94858,1.2546,0.01227,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4136.4,1.06984,1.68689,0.01271,0.69185,0.54713,0.6362,0.50728,0.91871,1.21883,0.01194,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4321.95,1.07374,1.70961,0.0131,0.6969,0.56467,0.6504,0.52652,0.86832,1.16088,0.01125,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4508.52,1.088,1.69136,0.01276,0.7452,0.55941,0.66462,0.53829,0.86165,1.1396,0.01128,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4694.48,1.04818,1.62825,0.01282,0.73328,0.59892,0.67892,0.54253,0.89256,1.11034,0.01151,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4880.12,1.06285,1.60753,0.01291,0.74373,0.59791,0.68868,0.5502,0.89249,1.09337,0.01153,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5065.55,1.04674,1.57793,0.01243,0.75614,0.60452,0.70615,0.56846,0.8828,1.05566,0.01153,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5251.05,1.04255,1.55109,0.01231,0.78187,0.61305,0.71315,0.58775,0.80863,1.04253,0.01034,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5437.06,1.04665,1.53959,0.01263,0.74735,0.62709,0.71995,0.59236,0.82171,1.00328,0.01057,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5623.85,1.01565,1.45698,0.01253,0.77733,0.61292,0.71946,0.59082,0.818,1.00235,0.01041,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5808.26,1.02115,1.47848,0.01227,0.75346,0.63679,0.72988,0.60379,0.8079,0.97537,0.01038,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5994.74,1.01025,1.45967,0.01223,0.76379,0.65267,0.74622,0.61675,0.80377,0.95893,0.01031,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6181.08,0.99282,1.41138,0.01206,0.76161,0.65809,0.74378,0.62114,0.76299,0.93836,0.00976,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6366.83,1.00491,1.4008,0.01176,0.79012,0.63962,0.73919,0.61332,0.79116,0.94742,0.00994,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6551.69,0.97952,1.38573,0.01182,0.77363,0.67057,0.75752,0.63937,0.75008,0.9008,0.00939,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6738.23,1.0012,1.37401,0.01203,0.76245,0.6749,0.76221,0.63864,0.76902,0.8959,0.00967,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6922.29,0.97207,1.32448,0.01163,0.78032,0.69096,0.77414,0.64909,0.76175,0.87928,0.00944,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7108.16,0.95894,1.30909,0.01163,0.81697,0.66734,0.77413,0.65012,0.75861,0.873,0.0094,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7294.21,0.96561,1.3211,0.01147,0.82876,0.66344,0.77591,0.66121,0.72229,0.86382,0.00888,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7480.47,0.95976,1.27387,0.01152,0.78188,0.69329,0.77586,0.663,0.71276,0.8566,0.00874,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
