epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0482,2.45764,3.48691,0.00334,0.7298,0.36528,0.39213,0.20159,1.96269,4.53573,0.00337,0.00045728,0.00045728,0.00045728
2,52.8533,2.36108,1.61952,0.0029,0.49298,0.36735,0.37126,0.19197,nan,nan,nan,0.000919654,0.000919654,0.000919654
3,69.3172,2.46411,1.57401,0.00292,0.41513,0.46023,0.391,0.18338,2.09836,3.5599,0.00378,0.00137269,0.00137269,0.00137269
4,85.8501,2.47256,1.45816,0.00306,0.47491,0.42374,0.40903,0.19487,nan,nan,nan,0.00138656,0.00138656,0.00138656
5,101.874,2.29497,1.45205,0.00298,0.57444,0.43784,0.40906,0.21276,2.05395,2.77556,0.00369,0.00137241,0.00137241,0.00137241
6,122.157,2.37619,1.40422,0.00287,0.54566,0.52113,0.4847,0.24441,1.93192,2.43096,0.00319,0.00135826,0.00135826,0.00135826
7,141.084,2.34253,1.38142,0.00286,0.59834,0.56079,0.52708,0.26961,1.87236,1.69759,0.00312,0.00134412,0.00134412,0.00134412
8,159.349,2.23644,1.30074,0.00303,0.58632,0.55993,0.54878,0.2865,1.80189,1.20225,0.00291,0.00132997,0.00132997,0.00132997
9,178.684,2.23087,1.34382,0.00276,0.58991,0.54825,0.53285,0.26317,1.85835,1.37396,0.00314,0.00131582,0.00131582,0.00131582
10,195.388,2.29057,1.30238,0.00262,0.7259,0.49337,0.5373,0.27631,1.8186,3.30789,0.0029,0.00130168,0.00130168,0.00130168
11,211.524,2.32243,1.32589,0.00271,0.63091,0.55405,0.55571,0.28646,1.75364,1.88369,0.0028,0.00128753,0.00128753,0.00128753
12,228.031,2.26057,1.25908,0.0026,0.61926,0.55831,0.5534,0.29857,1.77181,1.25923,0.00281,0.00127338,0.00127338,0.00127338
13,247.205,2.25436,1.18287,0.0027,0.61012,0.54765,0.53255,0.27394,1.85551,1.26255,0.00303,0.00125923,0.00125923,0.00125923
14,263.098,2.22127,1.19431,0.00264,0.65113,0.57746,0.58304,0.30424,1.72701,1.00222,0.0027,0.00124509,0.00124509,0.00124509
15,282.695,2.18961,1.21448,0.00257,0.65573,0.60687,0.60304,0.31916,1.70796,1.07012,0.00273,0.00123094,0.00123094,0.00123094
