epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1881,2.35914,3.57104,0.00352,0.70096,0.30544,0.29516,0.16366,nan,nan,nan,0.00045728,0.00045728,0.00045728
2,50.1907,2.2172,1.57459,0.00304,0.43035,0.4322,0.37414,0.19637,nan,nan,nan,0.000919654,0.000919654,0.000919654
3,68.3533,2.24997,1.39952,0.00307,0.35236,0.33976,0.32917,0.15581,nan,nan,nan,0.00137269,0.00137269,0.00137269
4,84.6542,2.26554,1.30649,0.00297,0.39446,0.37605,0.34447,0.16553,nan,nan,nan,0.00138656,0.00138656,0.00138656
5,100.194,2.14013,1.2914,0.003,0.60609,0.50789,0.5068,0.25914,nan,nan,nan,0.00137241,0.00137241,0.00137241
6,118.373,2.18092,1.28958,0.00292,0.49295,0.55341,0.49602,0.24766,1.96378,2.19614,0.00343,0.00135826,0.00135826,0.00135826
7,134.187,2.11644,1.20984,0.00284,0.66705,0.47372,0.47462,0.2397,1.83223,6.77799,0.00311,0.00134412,0.00134412,0.00134412
8,149.526,2.02958,1.10748,0.0029,0.60575,0.5539,0.55089,0.28323,1.78757,1.35482,0.00293,0.00132997,0.00132997,0.00132997
9,168.589,1.9848,1.15101,0.0027,0.61977,0.58549,0.56486,0.30507,1.75011,1.14659,0.00281,0.00131582,0.00131582,0.00131582
10,186.789,2.06137,1.09469,0.00263,0.70928,0.54389,0.58723,0.29906,1.78213,1.03692,0.00285,0.00130168,0.00130168,0.00130168
11,202.893,2.1365,1.12217,0.00264,0.71486,0.51317,0.55774,0.29939,1.71438,1.82817,0.00271,0.00128753,0.00128753,0.00128753
12,218.677,2.01748,1.07771,0.00259,0.65201,0.6072,0.59666,0.31927,1.70547,1.01389,0.00268,0.00127338,0.00127338,0.00127338
13,237.121,1.98893,0.96714,0.00265,0.65991,0.62007,0.61365,0.3182,1.7216,0.99496,0.00275,0.00125923,0.00125923,0.00125923
14,253.002,1.94387,0.99768,0.00254,0.68139,0.62414,0.62545,0.33545,1.69546,0.98925,0.0027,0.00124509,0.00124509,0.00124509
15,271.112,1.94718,0.98845,0.00252,0.69973,0.59736,0.62003,0.32458,1.69881,1.03992,0.00269,0.00123094,0.00123094,0.00123094
16,286.859,1.94642,0.95941,0.00242,0.69577,0.61708,0.6202,0.32903,1.69817,0.97102,0.00263,0.00121679,0.00121679,0.00121679
17,302.599,1.965,0.93484,0.00238,0.67545,0.59916,0.60504,0.32406,1.68559,0.9902,0.00269,0.00120265,0.00120265,0.00120265
18,318.365,1.97719,0.92276,0.00236,0.66232,0.6203,0.62136,0.32538,1.7228,1.24536,0.00277,0.0011885,0.0011885,0.0011885
19,334.322,1.88783,0.89363,0.00247,0.74767,0.62156,0.65722,0.3451,1.68797,0.89866,0.00271,0.00117435,0.00117435,0.00117435
20,352.55,1.87963,0.90646,0.00238,0.68715,0.62853,0.63266,0.32892,1.72976,0.96641,0.00274,0.00116021,0.00116021,0.00116021
21,368.611,1.90206,0.87148,0.00234,0.6824,0.67501,0.65934,0.35366,1.64714,0.92507,0.00258,0.00114606,0.00114606,0.00114606
22,387.037,1.87685,0.87571,0.00231,0.72549,0.63354,0.65519,0.35068,1.66649,1.0795,0.00264,0.00113191,0.00113191,0.00113191
23,403.005,1.88151,0.85105,0.00225,0.70414,0.65456,0.65984,0.3536,1.65611,0.90539,0.0026,0.00111776,0.00111776,0.00111776
