epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2804,2.57823,3.71317,0.00458,0.68917,0.35071,0.34976,0.15357,2.12731,4.28227,0.00412,0.00045728,0.00045728,0.00045728
2,51.177,2.42402,1.7892,0.00393,0.39477,0.25057,0.29864,0.14148,2.24793,2.05119,0.00397,0.000919654,0.000919654,0.000919654
3,66.6531,2.55197,1.74195,0.00399,0.24513,0.04936,0.03193,0.00917,nan,nan,nan,0.00137269,0.00137269,0.00137269
4,81.9037,2.57548,1.70074,0.00408,0,0,0,0,nan,nan,nan,0.00138656,0.00138656,0.00138656
5,97.2334,2.39303,1.70251,0.00409,0.27878,0.03137,0.02196,0.00754,nan,nan,nan,0.00137241,0.00137241,0.00137241
6,112.57,2.46587,1.64052,0.00384,0.5684,0.40099,0.38112,0.17415,2.24811,3.34064,0.00424,0.00135826,0.00135826,0.00135826
7,130.369,2.41802,1.54571,0.00396,0.59043,0.43332,0.43124,0.13691,2.46824,2.37828,0.00558,0.00134412,0.00134412,0.00134412
8,145.936,2.37391,1.53414,0.00418,0.43525,0.42966,0.35914,0.10116,2.61138,1.78499,0.00619,0.00132997,0.00132997,0.00132997
9,161.167,2.38424,1.61442,0.00387,0.57959,0.49398,0.47966,0.23435,2.02336,1.64107,0.00364,0.00131582,0.00131582,0.00131582
10,178.814,2.36119,1.47063,0.00354,0.51841,0.45986,0.37649,0.09417,2.69523,2.2129,0.007,0.00130168,0.00130168,0.00130168
11,194.108,2.35135,1.50184,0.00355,0.53674,0.48381,0.43736,0.12484,2.54692,3.13403,0.00611,0.00128753,0.00128753,0.00128753
12,209.582,2.29499,1.39444,0.00341,0.56729,0.46752,0.42792,0.12115,2.63518,1.98178,0.00632,0.00127338,0.00127338,0.00127338
13,224.891,2.32625,1.37803,0.00374,0.54975,0.51732,0.45831,0.13368,2.51367,1.39979,0.00599,0.00125923,0.00125923,0.00125923
14,240.215,2.26861,1.3543,0.0034,0.56404,0.5117,0.48079,0.15199,2.47594,1.46817,0.00576,0.00124509,0.00124509,0.00124509
15,255.685,2.21866,1.37676,0.0034,0.4737,0.461,0.3915,0.10149,2.74859,1.53341,0.00715,0.00123094,0.00123094,0.00123094
16,271.149,2.2564,1.33138,0.00335,0.5982,0.52807,0.52372,0.17732,2.33514,1.31013,0.00502,0.00121679,0.00121679,0.00121679
17,286.597,2.23938,1.34228,0.00316,0.56547,0.53864,0.49989,0.17678,2.26319,1.97374,0.00492,0.00120265,0.00120265,0.00120265
18,301.681,2.23648,1.3386,0.00339,0.50897,0.56207,0.47976,0.12943,2.61682,2.09728,0.00637,0.0011885,0.0011885,0.0011885
19,316.924,2.22666,1.32442,0.00338,0.52189,0.50618,0.43625,0.11786,2.74062,1.37629,0.00685,0.00117435,0.00117435,0.00117435
20,332.489,2.17605,1.31033,0.00334,0.55729,0.5204,0.46429,0.12591,2.64099,1.5411,0.00665,0.00116021,0.00116021,0.00116021
21,347.997,2.24568,1.28979,0.00303,0.4875,0.44869,0.38297,0.09496,2.83596,1.46485,0.00747,0.00114606,0.00114606,0.00114606
22,363.267,2.15308,1.23193,0.0031,0.49779,0.47926,0.38684,0.08794,2.84117,1.42472,0.00767,0.00113191,0.00113191,0.00113191
23,378.46,2.1788,1.31536,0.00337,0.57721,0.52066,0.49686,0.15885,2.41987,1.4463,0.00564,0.00111776,0.00111776,0.00111776
24,393.747,2.09788,1.27291,0.00335,0.60205,0.49137,0.4674,0.13396,2.57041,1.3295,0.00616,0.00110362,0.00110362,0.00110362
25,409.238,2.16097,1.25333,0.00324,0.55202,0.53526,0.47183,0.13045,2.64722,1.4682,0.00654,0.00108947,0.00108947,0.00108947
26,424.704,2.17783,1.24825,0.00313,0.59937,0.57783,0.54184,0.17834,2.39214,1.26526,0.00558,0.00107532,0.00107532,0.00107532
27,440.176,2.06964,1.22765,0.00316,0.60518,0.55027,0.50553,0.14028,2.55157,1.19397,0.00631,0.00106118,0.00106118,0.00106118
28,455.838,2.18362,1.23627,0.00325,0.58742,0.57099,0.52704,0.1611,2.41821,1.21309,0.00576,0.00104703,0.00104703,0.00104703
29,470.849,2.16453,1.20684,0.00323,0.56247,0.5723,0.52004,0.15556,2.52799,1.296,0.00609,0.00103288,0.00103288,0.00103288
